lat,lon,time
18.290377,109.39498,67
18.30294,109.531746,23
18.288542,109.43739,17
18.227816,109.62434,74
18.242569,109.48882,93
18.284195,109.51769,78
18.319645,109.72263,94
18.288282,109.4394,10
18.25732,109.51675,16
18.221508,109.501366,61
18.292948,109.47013,92
18.285439,109.49746,77
18.24289,109.51364,13
18.263563,109.50252,60
18.244505,109.557274,24
18.26553,109.507,72
18.283154,109.48909,53
18.255596,109.49661,50
18.272041,109.50848,28
18.268179,109.50318,60
18.218412,109.508644,50
18.255648,109.49971,80
18.237524,109.50568,27
18.317463,109.52,95
18.230646,109.51381,97
18.2541,109.506935,45
18.265665,109.49492,99
18.23083,109.62856,52
18.263557,109.49189,83
18.219824,109.61371,8
18.295204,109.51403,42
18.346947,109.73353,55
18.264914,109.4949,4
18.265085,109.49559,47
18.284107,109.496315,16
18.289845,109.50246,68
18.225445,109.52435,41
18.27771,109.50953,68
18.277546,109.60696,78
18.310043,109.407585,45
18.292494,109.52937,57
18.29744,109.48863,23
18.289059,109.495155,1
18.248322,109.49992,50
18.254427,109.51688,80
18.225136,109.51705,49
18.330645,109.645706,52
18.303326,109.52718,18
18.256073,109.516846,21
18.285963,109.52562,38
18.24183,109.50863,55
18.277994,109.71847,32
18.260508,109.5005,37
18.310472,109.4153,82
18.272398,109.50908,93
18.292698,109.42684,95
18.223488,109.51571,14
18.258442,109.51678,50
18.271784,109.50886,75
18.234024,109.50817,42
18.231575,109.5188,7
18.253553,109.51693,44
18.293388,109.40765,96
18.287947,109.44072,30
18.29655,109.48761,22
18.270014,109.486786,70
18.256016,109.50038,6
18.288528,109.43763,1
18.302431,109.601425,88
18.284758,109.49026,61
18.276043,109.51012,49
18.265654,109.50191,72
18.284891,109.49038,61
18.269512,109.49831,55
18.254507,109.49688,23
18.298811,109.3969,39
18.294577,109.529495,21
18.288786,109.43557,43
18.225222,109.52492,70
18.327648,109.6348,39
18.30035,109.45064,22
18.288609,109.52251,89
18.301188,109.538574,57
18.261124,109.50584,50
18.28229,109.58845,9
18.381418,109.73473,41
18.283937,109.52607,59
18.271387,109.50168,86
18.269367,109.48155,61
18.376019,109.62994,39
18.254807,109.496956,82
18.292519,109.52908,43
18.25929,109.5168,49
18.238976,109.5541,67
18.31371,109.4167,99
18.265038,109.49215,9
18.23956,109.48721,9
18.289974,109.429405,64
18.279873,109.51216,88
18.283978,109.583015,66
18.318213,109.54904,83
18.317694,109.54765,51
18.24215,109.48887,8
18.319836,109.70119,78
18.26557,109.495384,33
18.269485,109.498955,39
18.271685,109.508606,16
18.287327,109.55548,12
18.300756,109.524704,28
18.288923,109.49781,16
18.271564,109.48645,70
18.237848,109.54913,61
18.265112,109.49033,87
18.242193,109.51377,49
18.295507,109.51572,51
18.272799,109.51087,30
18.297436,109.48839,82
18.2961,109.366585,29
18.305882,109.20547,34
